Source,Target,Mensaje
serroru,hola_ina,RT @hola_INA: Los comentarios traducidos automáticamente en la publicación de los ataques de San Petersburgo de Al Jazeera frente a los de…
teresacanarias,sanchezcastejon,RT @sanchezcastejon: Siguiendo con preocupación las noticias que nos llegan desde San Petersburgo y que hablan de varias explosiones con ví…
airmaxdon,el_pais,"RT @el_pais: ÚLTIMA HORA | Otro artefacto explosivo ha sido neutralizado en una estación de metro de San Petersburgo, según AP https://t.co…"
duotrece,hola_ina,RT @hola_INA: Los comentarios traducidos automáticamente en la publicación de los ataques de San Petersburgo de Al Jazeera frente a los de…
luislasala1,elentirvigo,RT @elentirvigo: ? ?????? ? ??????? ??????? ? ????? ?????-?????????? / En memoria de las víctimas del atentado terrorista en el metro de Sa…
paqui1978,el_pais,RT @el_pais: El maquinista de San Petersburgo no se detuvo después de la explosión.  Avanzó una estación más para evacuar https://t.co/yfbx…
marinaceol,el_pais,"?? “Todo lo que se sabe de la explosión en San Petersburgo” por @el_pais

https://t.co/zDpZm3Oy7H"
josisabelibarra,c0nvey,ÚLTIMA HORA https://t.co/V2vSz9tcRj Las explosiones en el metro de San Petersburgo causan al menos 10... by #PaolaRojas via @c0nvey
vrfifa,florenenero,RT @florenenero: La audiencia de al-Jazeera ha vuelto a alegrarse por la muerte de civiles. Esta vez por las explosiones de San Petersburgo…
vrfifa,ierrejon,"RT @ierrejon: Nuevo atentado, ahora San Petersburgo. Nuestra condena a estos actos inhumanos. Mi solidaridad con el pueblo ruso"
allanmejia09,allanmejia09,"ÚLTIMA HORA Explosión en San Petersburgo fue un ataque terrorista, dicen autoridades... https://t.co/UoxbIWbRuS by… https://t.co/CjbWBImlA8"
tranoticias,tranoticias,"Imágenes explosión metro de San Petersburgo, Rusia -  https://t.co/VAMVCgaIGm https://t.co/7SXiaJvEYK"
poshagorda69hd,conelmazo_dando,"RT @conelmazo_dando: La gente llevará velas y ositos, pero si algo tengo claro es que Rusia llevará a los terroristas lo que merecen por lo…"
laureldetriunfo,motoreco_ok,"RT @Josefin09011301: RT
Video q reflejan los momentos posteriores a la explosión del metro de San Petersburgo
@motoreco_ok https://t.co/Cd0…"
laureldetriunfo,josefin09011301,"RT @Josefin09011301: RT
Video q reflejan los momentos posteriores a la explosión del metro de San Petersburgo
@motoreco_ok https://t.co/Cd0…"
coriu,actualidadrt,RT @ActualidadRT: Desoladoras imágenes en el metro de San Petersburgo tras la explosión https://t.co/FtxNrQlY5Z https://t.co/3FuvCbrWms
franciscorojo41,actualidadrt,RT @ActualidadRT: Putin se pronuncia sobre la explosión en San Petersburgo https://t.co/FtxNrQlY5Z https://t.co/5tnAj0kskN
jebuscl,sonarfm,"@sonarfm #EPA segun lei, el metro en san Petersburgo y Moscu esta bien abajo para servir de bunker para ataques aereos"
jbarral7,a3noticias,RT @A3Noticias: Las cámaras de vigilancia del metro de San Petersburgo grabaron a la persona que dejó la bomba ? https://t.co/uTBV7PrIGb ht…
anacanalperez,anacanalperez,"Mi mas sincero pesame al pueblo ruso, esperemos que #Putin reaccione y no se limite a poner ositos en el metro como aqui ?? ""San Petersburgo"""
stockholm_bitch,n00t__,"RT @n00t__: ??????.. ??? ?????????????? ?????? ???????? ? ??????????????
?????, ?? ? ??????? #SaintPetersburg San Petersburgo"
responsia5,momentses,"RT @MomentsES: ?? AHORA: Autoridades ajustan la cifra de víctimas a 9 muertos tras atentado en el Metro de San Petersburgo:

https://t.co/m…"
pdepapaymdemama,actualidadrt,RT @ActualidadRT: Siga EN VIVO nuestra cobertura especial de la tragedia en San Petersburgo para estar al tanto de todos los detalles https…
prixline,albertopucela7,"RT @Albertopucela7: Coffee&amp;Travel - Atentado en San Petersburgo, Rusia https://t.co/w2mS9LrIJ6"
isadegarate,emarting42,RT @emarting42: .@el_pais en #Periscope: DIRECTO | Explosión en el metro de San Petersburgo https://t.co/AmxBcc1TGb
isadegarate,el_pais,RT @emarting42: .@el_pais en #Periscope: DIRECTO | Explosión en el metro de San Petersburgo https://t.co/AmxBcc1TGb
notimex,notimex,El posible atentado terrorista en el metro de San Petersburgo causó la muerte de 10 personas. #PodcastNotimex https://t.co/9aMEEF3GJu
dcexpertodf,notimex,RT @Notimex: El posible atentado terrorista en el metro de San Petersburgo causó la muerte de 10 personas. #PodcastNotimex https://t.co/9aM…
maiquelmc27,ingridgarcia93,RT @ingridgarcia93: Varios muertos tras una explosión en San Petersburgo. Pero hoy es un 'día triste' porque Bustamante y Paula se separan.…
maiquelmc27,icamposvarela,RT @ICamposVarela: Posible ataque terrorista en San Petersburgo y media España preocupada por la ruptura de Bustamante y Paula Echevarría.…
susibarranco,susibarranco,Explosión en San Petersburgo. Al menos 10 muertos por un paquete (maletín) bomba. https://t.co/mYMHEayUxd
norma22flores,actualidadrt,"RT @ActualidadRT: ""Horror, sangre, personas con sus caras quemadas"": Relatos sobre la explosión en San Petersburgo https://t.co/xEWE2vWuCK…"
