Id,Followed,Followers,Tweets,Favorites,Time Zone
serroru,638,268,18267,15471,Madrid
hola_ina,492,7425,3004,2490,Athens
teresacanarias,278,172,4585,4870,
sanchezcastejon,5934,517076,20486,2527,Madrid
airmaxdon,1001,1102,112220,36085,Ljubljana
el_pais,764,6028057,322496,1248,Madrid
duotrece,356,129,16122,36870,Athens
luislasala1,2500,2631,110206,30815,Madrid
elentirvigo,950,11711,58637,38348,Madrid
paqui1978,70,26,2822,834,Madrid
marinaceol,397,456,11803,1088,Athens
josisabelibarra,47,38,357,0,
c0nvey,256,18699,2471,720,Pacific Time (US & Canada)
vrfifa,61,7,10,1,
florenenero,249,2327,18713,30048,London
ierrejon,1850,513519,22735,10393,Madrid
allanmejia09,117,47,1876,21,Central Time (US & Canada)
tranoticias,9514,11014,31125,31,Eastern Time (US & Canada)
poshagorda69hd,1487,596,5409,5676,Atlantic Time (Canada)
conelmazo_dando,5019,8184,141558,18488,Amsterdam
laureldetriunfo,427,166,4242,2665,
motoreco_ok,8121,15638,32092,1017,
josefin09011301,848,391,2227,2508,Buenos Aires
coriu,550,193,4408,43,Caracas
actualidadrt,78,2376033,377493,14,Volgograd
franciscorojo41,17,30,3574,7124,
jebuscl,562,498,29216,30,Buenos Aires
sonarfm,1125,126297,43708,5202,Santiago
jbarral7,103,221,10647,2198,Hawaii
a3noticias,369,1547199,147943,2,Madrid
anacanalperez,100,44,849,250,Greenland
stockholm_bitch,852,918,2501,21,Baku
n00t__,2345,809,2150,761,Novosibirsk
responsia5,470,123,347,354,
momentses,10,82750,14366,131,Mexico City
pdepapaymdemama,379,332,608,251,
prixline,118756,114060,24757,1121,Madrid
albertopucela7,98,115,207,87,
isadegarate,69,22,108,0,
emarting42,655,667,1201,242,Madrid
notimex,160,689895,243371,806,Mexico City
dcexpertodf,264,90,12967,26396,
maiquelmc27,239,861,50063,1027,Casablanca
ingridgarcia93,1086,2673,1675,1225,Pacific Time (US & Canada)
icamposvarela,732,2760,830,532,
susibarranco,1105,1289,30547,5000,Hawaii
norma22flores,11707,22108,106213,32434,Central Time (US & Canada)
omairahbl,5370,4918,43874,189,Caracas
diaroto05,444,64,467,110,Central Time (US & Canada)
intoxibebe1,238,201,401,495,
evelynpina4,581,164,6091,67,
periodismo360rd,202,253,49005,6,Central America
facu_locas,517,732,8765,989,Rome
facundo_arana,397,1612862,6393,1329,Buenos Aires
leetjiae,1668,800,9996,1559,America/Mexico_City
jesusmartinmx,973,55304,25218,35,Mountain Time (US & Canada)
bebelavargas1,1059,578,24393,11805,Buenos Aires
gaceta_es,99,178507,126359,64,Madrid
tonijoanplanas,293,331,15705,7656,Pacific Time (US & Canada)
elmundoes,1318,2748272,143945,2208,Madrid
wuiito,257,41,668,90,Eastern Time (US & Canada)
laurelcg,601,144,7136,1501,Eastern Time (US & Canada)
joseminces1,2043,1026,12594,65,Caracas
erikaosanoja,2002,172901,66520,8369,Caracas
hernanporrasm,6793,53562,2491947,33,Caracas
inelsonfrey,3609,7285,47617,11426,Caracas
ishosholoza,1583,9695,192694,27903,Central Time (US & Canada)
monpuentes,680,542,8944,12344,
lopezdoriga,1302,7509580,172006,647,Mountain Time (US & Canada)
dan7668daniel,1774,1063,11646,7607,
embamexrus,565,5563,12482,976,Volgograd
politicomx,909,44342,47243,557,Mexico City
edorey,1537,811,5371,46,Quito
fadeevipatii191,40,16,562,0,Pacific Time (US & Canada)
primerimpactomx,18,25962,13340,0,Pacific Time (US & Canada)
langasparini,3867,3897,7099,617,Buenos Aires
cand3mor,37,0,161,445,Mexico City
saltoaldiauy,3276,508,2965,25,Pacific Time (US & Canada)
cindy_gs,413,1096,4664,175,Santiago
juanjoalinyo,251,153,7597,277,Brussels
yoshualie,220,630,78884,22,Central America
scorpiorojo2005,5680,5163,103473,53765,Caracas
mauricioampuero,347,13231,3384,10,Moscow
rafaeldiazlugo,559,189,10240,7405,
mvtarde,157,174298,25824,15,
cazikane,282,26,469,203,Pacific Time (US & Canada)
_ju1_,1853,50115,119220,109663,Athens
adrianaduriz20,685,667,11940,4029,Hawaii
nortecastilla,107,113513,58741,70,Madrid
amaitan,109,150,21246,12,Caracas
tvesaldia,2578,474936,355291,15124,Caracas
ma2vamaj2,3463,3232,34321,776,Pacific Time (US & Canada)
embajadarusaes,440,3106,8958,470,Europe/Madrid
isequiser96,640,53492,5807,11004,
1001ptses,24594,39604,1013353,9,Amsterdam
rosvillalobos,149,371,48261,1634,Caracas
cnnee,797,15118942,103429,1283,Eastern Time (US & Canada)
ivanmacias1989,988,1696,54357,5674,Greenland
poetryhesc,562,3041,49608,13475,Amsterdam
carl_ccs,722,380,1428,152,Caracas
ntn24,184,3371264,218628,107,Central Time (US & Canada)
asyse_rh,75,16,168,0,Pacific Time (US & Canada)
nahomicatbieber,1250,1007,1556,62,Quito
24h_tve,154,1167570,175750,441,Madrid
cepmadrid,103,2724,9649,2387,Pacific Time (US & Canada)
la_informacion,575,450668,228936,2767,Madrid
voz_populi,673,83129,164116,10717,Madrid
betsymendible,62,122,7207,3,
rednicaragua,114,528,69849,68,
paolettopalante,261,314,85040,620,
genpenaloza,1778,473927,386999,84,Eastern Time (US & Canada)
il_largia,558,596,83553,13967,Madrid
jpmontes_,1238,1098,46468,662,Eastern Time (US & Canada)
attimesmx,330,26898,49961,20357,Eastern Time (US & Canada)
coygua,116,77,3031,6451,
rafaelmaturana,549,445,1411,166,Madrid
efenoticias,49,1217849,101750,5,Madrid
vhebrero,254,75,116,340,
tatianagnr,203,217,5605,1633,Pacific Time (US & Canada)
vir791,85,33,3292,76,
999job999,657,229,3507,603,Mexico City
nwomx,1982,822,4708,115,Central Time (US & Canada)
emocionycambio,6601,7074,230922,63773,Europe/Madrid
_santostrinidad,9061,9690,22620,17274,Pacific Time (US & Canada)
amr2915,315,96,8657,9247,
lasillarota,23692,285932,897414,10762,Mexico City
drvargasquemba,1616,8465,55252,11765,Bogota
tapiola02,208,355,6906,343,Atlantic Time (Canada)
masturvito,1255,3071,19535,19392,Bogota
dianaagra,2257,1076,22869,8339,Madrid
espanafweb,5003,1744,25103,6,
nllatorre,72,31,185,110,Pacific Time (US & Canada)
museorusomalaga,555,5051,3564,3071,Madrid
micaftalejoo,5004,1861,49371,28491,Pacific Time (US & Canada)
jordiwild,277,1290488,21735,4111,Madrid
niyereth_c,176,96,25864,3092,Eastern Time (US & Canada)
jglez360,75,629,6586,1439,Madrid
eeliissaa_15,96,55,324,196,
dbaru,4351,4147,38099,1,Caracas
evoespueblo,5,150560,1054,1,
fuetendencia,1,175,7320,0,Madrid
mrbritster,2463,3300,37263,1127,Central Time (US & Canada)
rphnabeel,110,3278,78924,20051,
9oscardue,55,24,1633,326,
franchuti97,493,480,6672,2761,Ljubljana
masrazonqunsant,95,3132,14792,1376,Pacific Time (US & Canada)
todoelratoyo1,2148,691,25439,411,Santiago
rodrigocervera1,327,474,29065,13708,Pacific Time (US & Canada)
playgrounder,2225,91330,41118,7602,Madrid
oneblakred,1294,700,8636,4463,Central America
durodedomarfm,4302,54512,31331,23691,Mexico City
keiranightly2,151,1458,148112,160487,
aschapire,519,23830,2330,77032,Amsterdam
canal6honduras,200,23726,76757,65,Central America
mbcsanjuan,2358,2309,26060,4623,
_domhan_,298,105,15323,14318,Pacific Time (US & Canada)
yusnabypost,121,110367,4612,11,Caracas
oscarsagoes,98,7,89,24,
yudaffi,4875,5735,46295,27079,Madrid
yo_soy_asin,6899,19373,96076,40802,
maria_biti,147,250,31184,5608,Quito
pedro_rj_azteca,420,118,6086,125,Mexico City
bbcmundo,345,2172154,172085,805,London
pajaropolitico,13229,1558635,478484,16473,Mexico City
milhita13,3044,1009,55376,74661,Greenland
yanmacec,43,89,21120,29,Central Time (US & Canada)
comadritahabane,2754,1116,25137,2451,Central Time (US & Canada)
fangirlstreet,549,261,2792,16710,Pacific Time (US & Canada)
titimur,637,448,40809,8280,Madrid
daniuu,1361,1007,22240,2941,Santiago
franciann9,1773,6545,38479,4126,Santiago
t13,111773,2730529,347851,545,Santiago
88wolfss,84,190,1998,397,Pacific Time (US & Canada)
albertofanatico,317,2953,5833,8704,Pacific Time (US & Canada)
susi_alonso,276,41,36487,2000,Amsterdam
ghmarayden,524,387,16878,10862,Pacific Time (US & Canada)
farodevigo,638,123714,110608,856,Madrid
anonymousredweb,502,415,60251,27,Pacific Time (US & Canada)
antosanchez_v,989,333,3716,847,Amsterdam
abc_es,15809,1324166,215537,160,Madrid
periodistavivo,1287,1002,44703,665,Central Time (US & Canada)
braispatos1297,468,182,10284,10093,
geopolitico_es,12249,15173,4918,81,Madrid
elcondegiovanni,622,434,33071,8027,Mexico City
dbellohdez,3505,886,24408,11678,Madrid
paochavezglez,1627,1330,5815,2213,Central Time (US & Canada)
nellylex,37,11,47,51,
miguelmata63,1149,2583,28815,24,Mexico City
sintesisdeguerr,492,789,18099,1,Central Time (US & Canada)
cami9641,288,287,17280,33,Quito
latercera,239642,1768356,522891,46,Santiago
haileyswlgart,1391,41,833,717,International Date Line West
ntelevisa_com,552,2578450,404912,102,Mexico City
l_ezequiell,499,522,7250,3902,
revelamexico,27764,34241,93215,1672,Central Time (US & Canada)
evencio_flores,1059,923,60985,346,Central Time (US & Canada)
iamparillo,390,625,11257,2959,
ivanpk15,364,139,1736,4234,Pacific Time (US & Canada)
tethelsan,2228,1548,68291,10105,Eastern Time (US & Canada)
jugar111,105,137,6928,9732,
ppppirri,183,3998,166445,270980,Berlin
hasmalimhf,94,334,43652,44197,Guadalajara
bebetita22,1506,1303,55422,1921,Atlantic Time (Canada)
jlmnoticias,190,42077,12961,220,Mexico City
alyssareyes71,2302,103,933,718,
corpcomojeda,1013,31672,49751,54,Mexico City
cuauhtemocfg,250,113,2078,829,Mexico City
john_galt80,499,295,45089,40844,
arturovilla_,434,7798,87487,8192,Madrid
djkensou,55,36,908,9,Santiago
marlenediaz929,210,584,58676,4838,
droidlere,152,34,4971,0,
bros_chiva,504,219,16987,14487,
